City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sangmelima,2.9333,11.9833,23.24,85,100,1.14,CM,1691511661
1,burang,30.25,81.1667,12.79,81,97,2.08,CN,1691511661
2,ilulissat,69.2167,-51.1,10.01,53,20,2.06,GL,1691511661
3,grytviken,-54.2811,-36.5092,-3.82,82,29,3.57,GS,1691511661
4,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691511662
5,klaksvik,62.2266,-6.589,8.51,74,100,12.3,FO,1691511662
6,laguna,38.421,-121.4238,27.2,67,0,4.12,US,1691511662
7,puerto lempira,15.2667,-83.7667,32.08,70,40,4.63,HN,1691511662
8,lander,42.833,-108.7307,13.45,88,100,2.06,US,1691511663
9,port-aux-francais,-49.35,70.2167,1.14,80,91,14.99,TF,1691511663
10,iskateley,67.6803,53.1512,14.17,60,71,3.43,RU,1691511663
11,hoemul-li,41.4339,129.67,18.96,89,99,3.01,KP,1691511663
12,blackmans bay,-43.0167,147.3167,4.18,93,56,2.66,AU,1691511663
13,susuman,62.7833,148.1667,3.28,70,76,0.34,RU,1691511664
14,lebu,-37.6167,-73.65,13.74,55,93,2.88,CL,1691511664
15,adamstown,-25.066,-130.1015,22.31,86,98,12.06,PN,1691511664
16,ushuaia,-54.8,-68.3,3.81,81,0,1.54,AR,1691511664
17,talnakh,69.4865,88.3972,18.45,59,91,0.6,RU,1691511664
18,west bay,19.3667,-81.4167,33.04,78,40,4.12,KY,1691511619
19,nantucket,41.2835,-70.0995,23.08,73,100,11.32,US,1691511665
20,majene,-3.5403,118.9707,24.54,83,3,5.32,ID,1691511665
21,ust-tsilma,65.441,52.1498,17.08,64,100,1.96,RU,1691511665
22,puerto natales,-51.7236,-72.4875,2.38,69,73,0.75,CL,1691511665
23,iqaluit,63.7506,-68.5145,6.85,87,40,5.66,CA,1691511665
24,malyn,50.7723,29.2383,20.48,50,100,5.01,UA,1691511666
25,carnarvon,-24.8667,113.6333,18.85,85,15,7.44,AU,1691511666
26,badger,64.8,-147.5333,15.84,93,75,2.57,US,1691511666
27,stanley,54.868,-1.6985,18.73,62,20,5.66,GB,1691511666
28,papatowai,-46.5619,169.4708,5.27,91,100,3.96,NZ,1691511666
29,mossendjo,-2.9506,12.7261,29.35,42,73,2.29,CG,1691511667
30,arteche,12.2645,125.4048,26.54,85,23,2.73,PH,1691511667
31,port alfred,-33.5906,26.891,16.21,85,95,2.68,ZA,1691511667
32,soledad de doblado,19.05,-96.4167,31.69,65,0,0.6,MX,1691511667
33,prieska,-29.6641,22.7474,20.63,15,1,2.95,ZA,1691511668
34,jamestown,42.097,-79.2353,22.51,68,40,10.8,US,1691511538
35,qaqortoq,60.7167,-46.0333,6.76,75,0,3.55,GL,1691511668
36,mulchen,-37.7167,-72.2333,9.92,52,63,0.7,CL,1691511450
37,tynda,55.1667,124.7167,14.17,74,94,0.04,RU,1691511668
38,rundu,-17.9333,19.7667,25.89,22,5,2.36,NA,1691511668
39,avarua,-21.2078,-159.775,18.03,88,20,1.54,CK,1691511669
40,isangel,-19.55,169.2667,20.1,72,85,6.46,VU,1691511669
41,rongelap,11.1635,166.8941,28.24,79,35,6.83,MH,1691511669
42,georgetown,5.4112,100.3354,25.53,95,20,1.54,MY,1691511536
43,waitangi,-43.9535,-176.5597,9.34,96,100,0.45,NZ,1691511669
44,brookings,44.3114,-96.7984,24.1,70,0,3.09,US,1691511392
45,bethel,41.3712,-73.414,26.68,74,100,5.66,US,1691511409
46,hohhot,40.8106,111.6522,22.16,68,0,2.0,CN,1691511670
47,margaret river,-33.95,115.0667,12.68,54,69,6.43,AU,1691511670
48,kourou,5.1552,-52.6478,33.03,58,20,4.26,GF,1691511670
49,isafjordur,66.0755,-23.124,12.02,62,20,4.12,IS,1691511670
50,undurkhaan,47.3194,110.6556,14.82,77,3,2.11,MN,1691511670
51,onega,63.9061,38.1404,22.45,59,1,4.72,RU,1691511671
52,russellville,35.2784,-93.1338,25.08,71,20,1.54,US,1691511661
53,lashio,22.9333,97.75,20.87,99,100,0.8,MM,1691511671
54,castelo do piaui,-5.3222,-41.5525,37.54,22,26,3.82,BR,1691511671
55,queenstown,-31.8976,26.8753,14.01,53,89,3.02,ZA,1691511648
56,pocone,-16.2567,-56.6228,38.68,18,0,1.66,BR,1691511672
57,colares,38.7992,-9.4469,28.52,70,20,8.94,PT,1691511672
58,artsyz,45.9919,29.4182,18.66,69,75,4.47,UA,1691511672
59,mount isa,-20.7333,139.5,9.87,76,6,0.51,AU,1691511672
60,hawaiian paradise park,19.5933,-154.9731,23.83,90,100,1.54,US,1691511672
61,edinburgh of the seven seas,-37.0676,-12.3116,14.99,86,55,20.51,SH,1691511673
62,keflavik,64.0049,-22.5624,13.95,76,40,3.6,IS,1691511673
63,college,64.8569,-147.8028,15.88,92,75,2.57,US,1691511673
64,hamilton,39.1834,-84.5333,27.04,62,20,4.12,US,1691511434
65,wailua homesteads,22.0669,-159.378,27.44,81,100,10.8,US,1691511673
66,luderitz,-26.6481,15.1594,18.99,59,0,11.42,NA,1691511626
67,kruisfontein,-34.0033,24.7314,14.38,91,80,5.71,ZA,1691511674
68,bilibino,68.0546,166.4372,5.0,52,100,2.2,RU,1691511674
69,annau,37.8876,58.516,34.72,23,20,4.12,TM,1691511674
70,galliano,29.4422,-90.2992,36.11,55,40,6.17,US,1691511674
71,margate,51.3813,1.3862,16.61,92,100,3.13,GB,1691511532
72,atafu village,-8.5421,-172.5159,27.97,73,45,5.63,TK,1691511675
73,pagar alam,-4.0167,103.2667,20.48,97,69,0.61,ID,1691511675
74,ornskoldsvik,63.2909,18.7153,19.53,82,100,7.2,SE,1691511675
75,cartagena del chaira,1.3349,-74.8429,31.16,54,98,0.63,CO,1691511675
76,port-gentil,-0.7193,8.7815,25.98,69,100,5.66,GA,1691511675
77,happy valley-goose bay,53.3168,-60.3315,17.17,77,75,3.6,CA,1691511676
78,copala,16.65,-98.9833,30.88,61,0,2.08,MX,1691511676
79,kone,-21.0595,164.8658,15.56,86,9,2.36,NC,1691511676
80,aroma,15.8167,36.1333,32.88,47,80,3.57,SD,1691511676
81,sinabang,2.4803,96.3801,26.32,79,100,1.62,ID,1691511677
82,quellon,-43.1167,-73.6167,11.14,93,40,3.6,CL,1691511677
83,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1691511677
84,nar'yan-mar,67.6713,53.087,14.42,60,73,3.41,RU,1691511677
85,bykovo,55.6361,38.0803,24.85,69,0,2.0,RU,1691511677
86,invercargill,-46.4,168.35,3.34,93,99,1.79,NZ,1691511678
87,tiksi,71.6872,128.8694,9.6,74,21,0.36,RU,1691511678
88,novofedorivka,46.1713,32.3178,20.93,63,24,12.89,UA,1691511678
89,teguise,29.0605,-13.564,24.12,73,20,4.12,ES,1691511678
90,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,87,0,3.0,RU,1691511678
91,mount pearl,47.5166,-52.7813,16.36,79,75,7.2,CA,1691511679
